title,views,comments,links,year,make,model,commentscount,viewscount
Thinking of buying a 3 year old A4 or 5,252 views,9 comments,https://forums.edmunds.com/discussion/37943/audi/x/thinking-of-buying-a-3-year-old-a4-or-5,Thinking,of,buying,9,252
"Car for Son moving to Tacoma, WA",71 views,13 comments,https://forums.edmunds.com/discussion/37992/general/x/car-for-son-moving-to-tacoma-wa,Car,for,Son,13,71
Is this a good deal?,191 views,1 comment,https://forums.edmunds.com/discussion/38013/nissan/rogue/is-this-a-good-deal,Is,this,a,1,191
XC90 R-Design,141 views,0 comments,https://forums.edmunds.com/discussion/38020/volvo/xc90/xc90-r-design,XC90,R-Design,,0,141
Used Car Mileage Question,31 views,3 comments,https://forums.edmunds.com/discussion/38076/general/x/used-car-mileage-question,Used,Car,Mileage,3,31
2016 Subaru Legacy Prices Paid,1.9K views,12 comments,https://forums.edmunds.com/discussion/38080/subaru/legacy/2016-subaru-legacy-prices-paid,2016,Subaru,Legacy,12,1900
Buying a Canadian Nissan Murano in Michigan,61 views,5 comments,https://forums.edmunds.com/discussion/38097/nissan/murano/buying-a-canadian-nissan-murano-in-michigan,Buying,a,Canadian,5,61
Price Negotiated - 2016 Honda CR-V EX-L AWD NAVI,1.3K views,6 comments,https://forums.edmunds.com/discussion/38209/honda/cr-v/price-negotiated-2016-honda-cr-v-ex-l-awd-navi,Price,Negotiated,-,6,1300
Can someone comment on Lease deal for 2016 NX,151 views,0 comments,https://forums.edmunds.com/discussion/38217/lexus/nx-200t/can-someone-comment-on-lease-deal-for-2016-nx,Can,someone,comment,0,151
2016 CR-V EX purchase price and buying experience,441 views,3 comments,https://forums.edmunds.com/discussion/38245/honda/cr-v/2016-cr-v-ex-purchase-price-and-buying-experience,2016,CR-V,EX,3,441
Questions about negative equity and trade in (selling),181 views,3 comments,https://forums.edmunds.com/discussion/38287/toyota/camry/questions-about-negative-equity-and-trade-in-selling,Questions,about,negative,3,181
Lemon Law,51 views,0 comments,https://forums.edmunds.com/discussion/38311/hyundai/genesis-coupe/lemon-law,Lemon,Law,,0,51
2015 QX60 AWD Premium package Buying Experience,1.5K views,0 comments,https://forums.edmunds.com/discussion/38333/infiniti/qx60/2015-qx60-awd-premium-package-buying-experience,2015,QX60,AWD,0,1500
When o when?,71 views,2 comments,https://forums.edmunds.com/discussion/38349/jeep/grand-cherokee/when-o-when,When,o,when?,2,71
Ford Holiday Sales Event Entices December Car Shoppers | Edmunds.com,921 views,1 comment,https://forums.edmunds.com/discussion/38363/ford/x/ford-holiday-sales-event-entices-december-car-shoppers-edmunds-com,Ford,Holiday,Sales,1,921
Honda Pilot Inventory,71 views,0 comments,https://forums.edmunds.com/discussion/38364/honda/pilot/honda-pilot-inventory,Honda,Pilot,Inventory,0,71
Is this good price on RDX 16 with Advance,471 views,7 comments,https://forums.edmunds.com/discussion/38472/acura/rdx/is-this-good-price-on-rdx-16-with-advance,Is,this,good,7,471
2015 IS 250 Financing Question,31 views,1 comment,https://forums.edmunds.com/discussion/38545/lexus/is-250/2015-is-250-financing-question,2015,IS,250,1,31
"2015 X1 28i Xdrive price CPO (6,000 miles)",281 views,1 comment,https://forums.edmunds.com/discussion/38553/bmw/x1/2015-x1-28i-xdrive-price-cpo-6-000-miles,2015,X1,28i,1,281
Years versus Mileage on used cars,161 views,6 comments,https://forums.edmunds.com/discussion/38594/general/x/years-versus-mileage-on-used-cars,Years,versus,Mileage,6,161
Looking for GL450 new cars,63 views,1 comment,https://forums.edmunds.com/discussion/38722/mercedes-benz/gl-class/looking-for-gl450-new-cars,Looking,for,GL450,1,63
Need help choosing an SUV...so confused,161 views,3 comments,https://forums.edmunds.com/discussion/38745/general/x/need-help-choosing-an-suv-so-confused,Need,help,choosing,3,161
Texting Leads the Way in Connecting with Car Buyers,1.8K views,0 comments,https://forums.edmunds.com/discussion/38768/general/x/texting-leads-the-way-in-connecting-with-car-buyers,Texting,Leads,the,0,1800
Questions About Financing New Vehicles,72.6K views,2.4K comments,https://forums.edmunds.com/discussion/103/general/x/questions-about-financing-new-vehicles,Questions,About,Financing,2400,72600
Insurance and NJ No-Point Ticket option,31K views,703 comments,https://forums.edmunds.com/discussion/4069/general/x/insurance-and-nj-no-point-ticket-option,Insurance,and,NJ,703,3100
Honda Accord Crosstour Lease Questions,3K views,177 comments,https://forums.edmunds.com/discussion/12841/honda/accord-crosstour/honda-accord-crosstour-lease-questions,Honda,Accord,Crosstour,177,300
2012 Ford Focus,5.5K views,1.3K comments,https://forums.edmunds.com/discussion/13616/ford/focus/2012-ford-focus,2012,Ford,Focus,1300,5500
2013 and earlier-BMW X1 Prices Paid and Buying Experience,2.6K views,27 comments,https://forums.edmunds.com/discussion/14750/bmw/x1/2013-and-earlier-bmw-x1-prices-paid-and-buying-experience,2013,and,earlier-BMW,27,2600
2014 Toyota Highlander,19.9K views,76 comments,https://forums.edmunds.com/discussion/14933/toyota/highlander/2014-toyota-highlander,2014,Toyota,Highlander,76,19900
2014 BMW X5,791 views,5 comments,https://forums.edmunds.com/discussion/18028/bmw/x5/2014-bmw-x5,2014,BMW,X5,5,791
Certified Used Cars - The Wave of the Future,1.2K views,4 comments,https://forums.edmunds.com/discussion/18328/general/x/certified-used-cars-the-wave-of-the-future,Certified,Used,Cars,4,1200
2015 Toyota Corolla Lease Questions,2.5K views,143 comments,https://forums.edmunds.com/discussion/34068/toyota/corolla/2015-toyota-corolla-lease-questions,2015,Toyota,Corolla,143,2500
2016 Chevrolet Volt Online Configurator Debuts | Edmunds.com,3.3K views,3 comments,https://forums.edmunds.com/discussion/34600/chevrolet/volt/2016-chevrolet-volt-online-configurator-debuts-edmunds-com,2016,Chevrolet,Volt,3,3300
Mazda3 vs All Contenders,331 views,4 comments,https://forums.edmunds.com/discussion/34623/mazda/mazda3/mazda3-vs-all-contenders,Mazda3,vs,All,4,331
What is a good final on road price for the BMW 428 i Conv (link provided) I built on bmwusa.com?,201 views,4 comments,https://forums.edmunds.com/discussion/35334/bmw/4-series/what-is-a-good-final-on-road-price-for-the-bmw-428-i-conv-link-provided-i-built-on-bmwusa-com,What,is,a,4,201
2015 C300 Lease,521 views,7 comments,https://forums.edmunds.com/discussion/36113/mercedes-benz/300-class/2015-c300-lease,2015,C300,Lease,7,521
Honda America cannot solve 2016 Honda Pilot setting issue.,4.3K views,6 comments,https://forums.edmunds.com/discussion/36214/honda/pilot/honda-america-cannot-solve-2016-honda-pilot-setting-issue,Honda,America,cannot,6,4300
Shall I wait for 2016 model of RX350 or buy 2015?,971 views,3 comments,https://forums.edmunds.com/discussion/36294/lexus/rx-350/shall-i-wait-for-2016-model-of-rx350-or-buy-2015,Shall,I,wait,3,971
Lost deposit or..?,11 views,1 comment,https://forums.edmunds.com/discussion/37009/bmw/x/lost-deposit-or,Lost,deposit,or..?,1,11
"Purchasing, price matching",211 views,5 comments,https://forums.edmunds.com/discussion/37102/dodge/durango/purchasing-price-matching,"Purchasing,",price,matching,5,211
Check out an Austin truck for me?,71 views,4 comments,https://forums.edmunds.com/discussion/37168/ford/f-150/check-out-an-austin-truck-for-me,Check,out,an,4,71
2015 BMW 3 Series Prices Paid,2.2K views,5 comments,https://forums.edmunds.com/discussion/37179/bmw/3-series/2015-bmw-3-series-prices-paid,2015,BMW,3,5,2200
Plenty of Non-VW Diesel Cars and SUVs Available That Meet Emissions Requirements | Edmunds.com,911 views,2 comments,https://forums.edmunds.com/discussion/37182/general/x/plenty-of-non-vw-diesel-cars-and-suvs-available-that-meet-emissions-requirements-edmunds-com,Plenty,of,Non-VW,2,911
Freelander buying - pat ross,61 views,4 comments,https://forums.edmunds.com/discussion/37245/land-rover/freelander/freelander-buying-pat-ross,Freelander,buying,-,4,61
"Can my parent put a $500 (maybe $600) down payment for a $7,000 car?",31 views,2 comments,https://forums.edmunds.com/discussion/37261/general/x/can-my-parent-put-a-500-maybe-600-down-payment-for-a-7-000-car,Can,my,parent,2,31
Scion XB as a used car (mostly transmission issue),241 views,1 comment,https://forums.edmunds.com/discussion/37283/scion/xb/scion-xb-as-a-used-car-mostly-transmission-issue,Scion,XB,as,1,241
"Volkswagen Offers $2,000 Customer Loyalty Incentive To Retain Buyers | Edmunds.com",2.2K views,3 comments,https://forums.edmunds.com/discussion/37300/volkswagen/x/volkswagen-offers-2-000-customer-loyalty-incentive-to-retain-buyers-edmunds-com,Volkswagen,Offers,"$2,000",3,2200
Waiting for car pre approval letter.,31 views,1 comment,https://forums.edmunds.com/discussion/37304/general/x/waiting-for-car-pre-approval-letter,Waiting,for,car,1,31
2015 Honda CR-V LX questions,461 views,4 comments,https://forums.edmunds.com/discussion/37390/honda/cr-v/2015-honda-cr-v-lx-questions,2015,Honda,CR-V,4,461
Difference in build quality of Texas vs. Mexico built Suburbans,81 views,0 comments,https://forums.edmunds.com/discussion/37399/chevrolet/suburban/difference-in-build-quality-of-texas-vs-mexico-built-suburbans,Difference,in,build,0,81
How to get a dealer to lease to you on their best Selling Price?,41 views,1 comment,https://forums.edmunds.com/discussion/37443/mazda/x/how-to-get-a-dealer-to-lease-to-you-on-their-best-selling-price,How,to,get,1,41
Making the deal,31 views,1 comment,https://forums.edmunds.com/discussion/37459/infiniti/fx35/making-the-deal,Making,the,deal,1,31
HAGgle,11 views,1 comment,https://forums.edmunds.com/discussion/37460/infiniti/x/haggle,HAGgle,,,1,11
Mark VI buy?,31 views,1 comment,https://forums.edmunds.com/discussion/37470/lincoln/x/mark-vi-buy,Mark,VI,buy?,1,31
2013 C-Max Hybrid SEL with Energi Badge and charging port?,41 views,0 comments,https://forums.edmunds.com/discussion/37539/ford/c-max-hybrid/2013-c-max-hybrid-sel-with-energi-badge-and-charging-port,2013,C-Max,Hybrid,0,41
2016 GX 460 Premium Package Prices Paid,1.1K views,1 comment,https://forums.edmunds.com/discussion/37553/lexus/gx-460/2016-gx-460-premium-package-prices-paid,2016,GX,460,1,1100
New VW Jetta vs. high mileage Audi A4,1.9K views,33 comments,https://forums.edmunds.com/discussion/37576/general/x/new-vw-jetta-vs-high-mileage-audi-a4,New,VW,Jetta,33,1900
2016 Honda CR-V availability?,761 views,7 comments,https://forums.edmunds.com/discussion/37593/honda/cr-v/2016-honda-cr-v-availability,2016,Honda,CR-V,7,761
Should I or should I not.. Tis the question,191 views,6 comments,https://forums.edmunds.com/discussion/37596/cadillac/srx/should-i-or-should-i-not-tis-the-question,Should,I,or,6,191
First time leasing... Did I get a good deal?,81 views,1 comment,https://forums.edmunds.com/discussion/37669/ford/explorer/first-time-leasing-did-i-get-a-good-deal,First,time,leasing...,1,81
First time car shopper/buyer questions.,31 views,4 comments,https://forums.edmunds.com/discussion/37800/general/x/first-time-car-shopper-buyer-questions,First,time,car,4,31
Cash Purchase & Title Info,62 views,8 comments,https://forums.edmunds.com/discussion/37853/mercedes-benz/s-class/cash-purchase-title-info,Cash,Purchase,&,8,62
Used Car Needed ASAP ... No Idea What to Get,72 views,4 comments,https://forums.edmunds.com/discussion/37904/general/x/used-car-needed-asap-no-idea-what-to-get,Used,Car,Needed,4,72
Should I buy a used Nissan Quest?,13.2K views,9 comments,https://forums.edmunds.com/discussion/8472/nissan/quest/should-i-buy-a-used-nissan-quest,Should,I,buy,9,13200
Mercedes Benz G-Class Prices Paid,334 views,2 comments,https://forums.edmunds.com/discussion/15021/mercedes-benz/g-class/mercedes-benz-g-class-prices-paid,Mercedes,Benz,G-Class,2,334
2015 Chevy Suburban,4.1K views,34 comments,https://forums.edmunds.com/discussion/17147/chevrolet/x/2015-chevy-suburban,2015,Chevy,Suburban,34,4100
Confessions of an Auto Finance Manager,117.7K views,24 comments,https://forums.edmunds.com/discussion/26025/general/x/confessions-of-an-auto-finance-manager,Confessions,of,an,24,117700
2015 Kia Sedona Prices Paid and Buying Experience,6K views,76 comments,https://forums.edmunds.com/discussion/30194/kia/sedona/2015-kia-sedona-prices-paid-and-buying-experience,2015,Kia,Sedona,76,600
2015 Camry LE Prices Paid,3.5K views,11 comments,https://forums.edmunds.com/discussion/32776/toyota/camry/2015-camry-le-prices-paid,2015,Camry,LE,11,3500
2015 Toyota Venza Lease Questions,611 views,29 comments,https://forums.edmunds.com/discussion/34078/toyota/venza/2015-toyota-venza-lease-questions,2015,Toyota,Venza,29,611
2016 Hyundai Santa Fe Prices Paid and Buying Experience,1.1K views,6 comments,https://forums.edmunds.com/discussion/35076/hyundai/santa-fe/2016-hyundai-santa-fe-prices-paid-and-buying-experience,2016,Hyundai,Santa,6,1100
Contacting the fleet manager/internet manager to get best local pricing on new car,302 views,4 comments,https://forums.edmunds.com/discussion/35798/general/x/contacting-the-fleet-manager-internet-manager-to-get-best-local-pricing-on-new-car,Contacting,the,fleet,4,302
Aurora,71 views,6 comments,https://forums.edmunds.com/discussion/35841/oldsmobile/aurora/aurora,Aurora,,,6,71
"Dodge Viper ""1 of 1"" Custom-Order Program Boosts Transaction Prices",211 views,1 comment,https://forums.edmunds.com/discussion/35868/dodge/viper/dodge-viper-1-of-1-custom-order-program-boosts-transaction-prices,Dodge,Viper,"""1",1,211
"Mustang GT 2015, 2016 price",211 views,1 comment,https://forums.edmunds.com/discussion/35958/ford/mustang/mustang-gt-2015-2016-price,Mustang,GT,"2015,",1,211
Any tips or suggestions on buying a Subaru,4K views,16 comments,https://forums.edmunds.com/discussion/36022/subaru/x/any-tips-or-suggestions-on-buying-a-subaru,Any,tips,or,16,400
Who Is the Used Tesla Model S Buyer? | Edmunds.com,5.4K views,1 comment,https://forums.edmunds.com/discussion/36037/tesla/model-s/who-is-the-used-tesla-model-s-buyer-edmunds-com,Who,Is,the,1,5400
Anybody care to share prices paid on their 2015 Crosstrek XV,141 views,1 comment,https://forums.edmunds.com/discussion/36112/subaru/xv-crosstrek/anybody-care-to-share-prices-paid-on-their-2015-crosstrek-xv,Anybody,care,to,1,141
"What do you think of $23,600 including destination plus $250 doc fee and TT&amp;L for Accord EX-L?",281 views,4 comments,https://forums.edmunds.com/discussion/36157/honda/accord/what-do-you-think-of-23-600-including-destination-plus-250-doc-fee-and-tt-amp-l-for-accord-ex-l,What,do,you,4,281
Opinion about Financing vs Leasing?,81 views,6 comments,https://forums.edmunds.com/discussion/36265/acura/tlx/opinion-about-financing-vs-leasing,Opinion,about,Financing,6,81
When Buying Used Makes More Sense Than Leasing,9.2K views,5 comments,https://forums.edmunds.com/discussion/36273/general/x/when-buying-used-makes-more-sense-than-leasing,When,Buying,Used,5,9200
"How much is a Honda Civic 2.2 cdci es w/ pano roof, cruise control &amp; leather seats worth?",12 views,1 comment,https://forums.edmunds.com/discussion/36277/honda/civic/how-much-is-a-honda-civic-2-2-cdci-es-w-pano-roof-cruise-control-amp-leather-seats-worth,How,much,is,1,12
Cant find the VIN on my Kitcar?,536 views,1 comment,https://forums.edmunds.com/discussion/36286/mercedes-benz/x/cant-find-the-vin-on-my-kitcar,Cant,find,the,1,536
Buy new Honda Odyssey or certified ones?,121 views,5 comments,https://forums.edmunds.com/discussion/36295/honda/odyssey/buy-new-honda-odyssey-or-certified-ones,Buy,new,Honda,5,121
Looking For A New Car,1 view,1 comment,https://forums.edmunds.com/discussion/36341/general/x/looking-for-a-new-car,Looking,For,A,1,1
"2015 Volkswagen Jetta Lease Quote, what seems odd here?",121 views,5 comments,https://forums.edmunds.com/discussion/36385/volkswagen/x/2015-volkswagen-jetta-lease-quote-what-seems-odd-here,2015,Volkswagen,Jetta,5,121
Sport Package with Technology Option,51 views,1 comment,https://forums.edmunds.com/discussion/36390/subaru/impreza/sport-package-with-technology-option,Sport,Package,with,1,51
Certified 2015 RDX AWD base model price check,461 views,3 comments,https://forums.edmunds.com/discussion/36412/acura/rdx/certified-2015-rdx-awd-base-model-price-check,Certified,2015,RDX,3,461
"Buying 2016 Escape help, NJ",321 views,8 comments,https://forums.edmunds.com/discussion/36436/ford/escape/buying-2016-escape-help-nj,Buying,2016,Escape,8,321
Prices paid for the 2015 Edge?,791 views,1 comment,https://forums.edmunds.com/discussion/36471/ford/edge/prices-paid-for-the-2015-edge,Prices,paid,for,1,791
Dealer misstated odometer miles on new car,1.5K views,6 comments,https://forums.edmunds.com/discussion/36478/general/x/dealer-misstated-odometer-miles-on-new-car,Dealer,misstated,odometer,6,1500
Toyato 2015 RAV4 Limited AWD price,432 views,9 comments,https://forums.edmunds.com/discussion/36490/toyota/rav4/toyato-2015-rav4-limited-awd-price,Toyato,2015,RAV4,9,432
What's a good deal for 2015 Lexus RX 350 in Michigan,1.2K views,1 comment,https://forums.edmunds.com/discussion/36510/lexus/rx-350/whats-a-good-deal-for-2015-lexus-rx-350-in-michigan,What's,a,good,1,1200
Fully loaded Mercedes C300 4matic vs Fully loaded BMW 328i xdrive 2015,161 views,5 comments,https://forums.edmunds.com/discussion/36543/general/x/fully-loaded-mercedes-c300-4matic-vs-fully-loaded-bmw-328i-xdrive-2015,Fully,loaded,Mercedes,5,161
Help Needed buying used car,51 views,3 comments,https://forums.edmunds.com/discussion/36635/kia/optima/help-needed-buying-used-car,Help,Needed,buying,3,51
2005 s60 2.5t,122 views,1 comment,https://forums.edmunds.com/discussion/36637/volvo/s60/2005-s60-2-5t,2005,s60,2.5t,1,122
Financing a Honda Civic 2015 Ex (Florida),272 views,9 comments,https://forums.edmunds.com/discussion/36663/general/x/financing-a-honda-civic-2015-ex-florida,Financing,a,Honda,9,272
Snorkel for 2003 Toyota 4Runner 4.7,91 views,2 comments,https://forums.edmunds.com/discussion/36724/toyota/4runner/snorkel-for-2003-toyota-4runner-4-7,Snorkel,for,2003,2,91
Northwest Pricing Ford F-150,31 views,0 comments,https://forums.edmunds.com/discussion/36741/ford/f-150/northwest-pricing-ford-f-150,Northwest,Pricing,Ford,0,31
Best Volvo dealer in Southern California?,181 views,1 comment,https://forums.edmunds.com/discussion/36746/volvo/s60/best-volvo-dealer-in-southern-california,Best,Volvo,dealer,1,181
Did I get a good lease deal on a 2015 Jetta SEL?,291 views,1 comment,https://forums.edmunds.com/discussion/36788/volkswagen/jetta/did-i-get-a-good-lease-deal-on-a-2015-jetta-sel,Did,I,get,1,291
Researching car prices. How much information should I share to get quotes,81 views,2 comments,https://forums.edmunds.com/discussion/36801/bmw/x/researching-car-prices-how-much-information-should-i-share-to-get-quotes,Researching,car,prices.,2,81
Test drive of a 2016 Elantra GT,741 views,1 comment,https://forums.edmunds.com/discussion/36865/hyundai/elantra-gt/test-drive-of-a-2016-elantra-gt,Test,drive,of,1,741
Replacement Cost by Insurance Company for Totaled Vehicle,73.2K views,265 comments,https://forums.edmunds.com/discussion/4048/general/x/replacement-cost-by-insurance-company-for-totaled-vehicle,Replacement,Cost,by,265,73200
2013 and earlier-Mercedes Benz GLK-Class Lease Questions,6.1K views,365 comments,https://forums.edmunds.com/discussion/11102/mercedes-benz/glk-class/2013-and-earlier-mercedes-benz-glk-class-lease-questions,2013,and,earlier-Mercedes,365,6100
Ford Fusion HYBRID Prices Paid and Buying Experience,2.1K views,41 comments,https://forums.edmunds.com/discussion/11543/ford/fusion/ford-fusion-hybrid-prices-paid-and-buying-experience,Ford,Fusion,HYBRID,41,2100
Toyota Prius V - likes/dislikes and cost,8.9K views,36 comments,https://forums.edmunds.com/discussion/14601/toyota/prius-v/toyota-prius-v-likes-dislikes-and-cost,Toyota,Prius,V,36,8900
2006 Mustang GT question,821 views,2 comments,https://forums.edmunds.com/discussion/14821/ford/mustang/2006-mustang-gt-question,2006,Mustang,GT,2,821
2015 Buick Encore Prices Paid and Buying Experience,4.6K views,32 comments,https://forums.edmunds.com/discussion/14991/buick/encore/2015-buick-encore-prices-paid-and-buying-experience,2015,Buick,Encore,32,4600
2014 Nissan Altima Lease Questions,24.5K views,397 comments,https://forums.edmunds.com/discussion/16707/nissan/x/2014-nissan-altima-lease-questions,2014,Nissan,Altima,397,24500
2014 Mercedes-Benz C-Class Lease Questions,32.4K views,346 comments,https://forums.edmunds.com/discussion/16854/mercedes-benz/c-class/2014-mercedes-benz-c-class-lease-questions,2014,Mercedes-Benz,C-Class,346,32400
2014 Mercedes-Benz E-Class Lease Questions,55.9K views,696 comments,https://forums.edmunds.com/discussion/16863/mercedes-benz/e-class/2014-mercedes-benz-e-class-lease-questions,2014,Mercedes-Benz,E-Class,696,55900
2014 Mercedes-Benz M-Class Lease Questions,24.1K views,221 comments,https://forums.edmunds.com/discussion/16864/mercedes-benz/m-class/2014-mercedes-benz-m-class-lease-questions,2014,Mercedes-Benz,M-Class,221,24100
2014 Mercedes-Benz SLK-Class Lease Questions,1.8K views,33 comments,https://forums.edmunds.com/discussion/16865/mercedes-benz/slk-class/2014-mercedes-benz-slk-class-lease-questions,2014,Mercedes-Benz,SLK-Class,33,1800
2014 Mercedes-Benz GL-Class Lease Questions,25.6K views,100 comments,https://forums.edmunds.com/discussion/17081/mercedes-benz/gl-class/2014-mercedes-benz-gl-class-lease-questions,2014,Mercedes-Benz,GL-Class,100,25600
2015 Acura MDX Prices Paid and Buying Experience,85.3K views,450 comments,https://forums.edmunds.com/discussion/19029/acura/mdx/2015-acura-mdx-prices-paid-and-buying-experience,2015,Acura,MDX,450,85300
1996 Toyota Avalon Advice,51 views,2 comments,https://forums.edmunds.com/discussion/19548/toyota/avalon/1996-toyota-avalon-advice,1996,Toyota,Avalon,2,51
2015 Subaru Outback Prices Paid,14.5K views,34 comments,https://forums.edmunds.com/discussion/19847/subaru/outback/2015-subaru-outback-prices-paid,2015,Subaru,Outback,34,14500
Best deal on 2015 Honda Accord Hybrid (non plug in),2.2K views,28 comments,https://forums.edmunds.com/discussion/20445/honda/accord-hybrid/best-deal-on-2015-honda-accord-hybrid-non-plug-in,Best,deal,on,28,2200
10 Steps to Buying a Pickup Truck,121.3K views,4 comments,https://forums.edmunds.com/discussion/28008/general/x/10-steps-to-buying-a-pickup-truck,10,Steps,to,4,121300
Advice on buyinga 2004 BMW X5?,361 views,2 comments,https://forums.edmunds.com/discussion/30771/bmw/x5/advice-on-buyinga-2004-bmw-x5,Advice,on,buyinga,2,361
Prices paid for Caddy 2014 CTS luxury trim,401 views,7 comments,https://forums.edmunds.com/discussion/31681/cadillac/cts/prices-paid-for-caddy-2014-cts-luxury-trim,Prices,paid,for,7,401
GMC Acadia 2013 - Reliable?,3.2K views,2 comments,https://forums.edmunds.com/discussion/32491/gmc/acadia/gmc-acadia-2013-reliable,GMC,Acadia,2013,2,3200
2015 Lexus RX 350 prices paid,1.7K views,3 comments,https://forums.edmunds.com/discussion/34091/lexus/rx-350/2015-lexus-rx-350-prices-paid,2015,Lexus,RX,3,1700
Looking to purchase 2015 Honda CR-V EX,511 views,7 comments,https://forums.edmunds.com/discussion/34095/honda/cr-v/looking-to-purchase-2015-honda-cr-v-ex,Looking,to,purchase,7,511
2015 Mercedes-Benz CLA Class Prices Paid,721 views,9 comments,https://forums.edmunds.com/discussion/34103/mercedes-benz/cla-class/2015-mercedes-benz-cla-class-prices-paid,2015,Mercedes-Benz,CLA,9,721
2015 Mitsubishi Lancer Lease Questions,181 views,14 comments,https://forums.edmunds.com/discussion/34409/mitsubishi/lancer/2015-mitsubishi-lancer-lease-questions,2015,Mitsubishi,Lancer,14,181
2015 Mazda 3 Hatchback or 2015 Camry,11 views,2 comments,https://forums.edmunds.com/discussion/34529/general/x/2015-mazda-3-hatchback-or-2015-camry,2015,Mazda,3,2,11
"Car Shoppers Find Good Deals on Fiat 500, Volkswagen Jetta in Used-Car Market | Edmunds.com",381 views,2 comments,https://forums.edmunds.com/discussion/34625/general/x/car-shoppers-find-good-deals-on-fiat-500-volkswagen-jetta-in-used-car-market-edmunds-com,Car,Shoppers,Find,2,381
Additional costs - license + doc fee,111 views,1 comment,https://forums.edmunds.com/discussion/34678/lexus/nx-200t/additional-costs-license-doc-fee,Additional,costs,-,1,111
2015 Rogue AWD - pull the trigger? Help.,1.3K views,5 comments,https://forums.edmunds.com/discussion/34681/nissan/rogue/2015-rogue-awd-pull-the-trigger-help,2015,Rogue,AWD,5,1300
Planning to lease a 2015 IS 250 F Sport. How do I find lower pricing than the MSRP price?,371 views,15 comments,https://forums.edmunds.com/discussion/34715/lexus/is-250/planning-to-lease-a-2015-is-250-f-sport-how-do-i-find-lower-pricing-than-the-msrp-price,Planning,to,lease,15,371
Need opinion with what to do with flood salvage car bought on eBay?,21 views,3 comments,https://forums.edmunds.com/discussion/34828/general/x/need-opinion-with-what-to-do-with-flood-salvage-car-bought-on-ebay,Need,opinion,with,3,21
Price of used Chevrolet van.,21 views,4 comments,https://forums.edmunds.com/discussion/35027/chevrolet/astro/price-of-used-chevrolet-van,Price,of,used,4,21
Trade in/sell my 2013 Outback Limited for a 2008 Outback?,321 views,10 comments,https://forums.edmunds.com/discussion/35064/subaru/outback/trade-in-sell-my-2013-outback-limited-for-a-2008-outback,Trade,in/sell,my,10,321
"I have $58,000 USD to spend on a high performance car. Any advice?",221 views,13 comments,https://forums.edmunds.com/discussion/35071/general/x/i-have-58-000-usd-to-spend-on-a-high-performance-car-any-advice,I,have,"$58,000",13,221
2014 Ford F150 Trade-In for a LEASE!,61 views,1 comment,https://forums.edmunds.com/discussion/35139/ford/f-150/2014-ford-f150-trade-in-for-a-lease,2014,Ford,F150,1,61
Buying a car and moving soon,11 views,0 comments,https://forums.edmunds.com/discussion/35148/general/x/buying-a-car-and-moving-soon,Buying,a,car,0,11
"What cars fit this: $20k or less, 250+ hp, AWD, not super expensive to repair?",123 views,0 comments,https://forums.edmunds.com/discussion/35364/general/x/what-cars-fit-this-20k-or-less-250-hp-awd-not-super-expensive-to-repair,What,cars,fit,0,123
Help with lease offer!,141 views,14 comments,https://forums.edmunds.com/discussion/35612/bmw/3-series/help-with-lease-offer,Help,with,lease,14,141
Cadillac CTS Vsport demo value,191 views,5 comments,https://forums.edmunds.com/discussion/35712/cadillac/x/cadillac-cts-vsport-demo-value,Cadillac,CTS,Vsport,5,191
Honda CR-V EX-L FWD No Nav Price,281 views,1 comment,https://forums.edmunds.com/discussion/35719/honda/cr-v/honda-cr-v-ex-l-fwd-no-nav-price,Honda,CR-V,EX-L,1,281
Porsche Whets Car Shoppers' Appetites With New Fine Dining Restaurant | Edmunds.com,11 views,1 comment,https://forums.edmunds.com/discussion/35774/porsche/x/porsche-whets-car-shoppers-appetites-with-new-fine-dining-restaurant-edmunds-com,Porsche,Whets,Car,1,11
Chrysler Town & Country Prices Paid and Buying Experience,7.4K views,1.6K comments,https://forums.edmunds.com/discussion/3612/chrysler/town-and-country/chrysler-town-country-prices-paid-and-buying-experience,Chrysler,Town,&,1600,7400
Honda Fit Lease Questions,2.8K views,81 comments,https://forums.edmunds.com/discussion/5056/honda/fit/honda-fit-lease-questions,Honda,Fit,Lease,81,2800
Porsche 911 Lease Questions,30K views,674 comments,https://forums.edmunds.com/discussion/5130/porsche/911/porsche-911-lease-questions,Porsche,911,Lease,674,3000
Mitsubishi Outlander Prices Paid,8K views,972 comments,https://forums.edmunds.com/discussion/6301/mitsubishi/outlander/mitsubishi-outlander-prices-paid,Mitsubishi,Outlander,Prices,972,800
Porsche Cayman Lease Questions,13.9K views,202 comments,https://forums.edmunds.com/discussion/6718/porsche/cayman/porsche-cayman-lease-questions,Porsche,Cayman,Lease,202,13900
2013 and earlier Mitsubishi Lancer Lease Questions,371 views,29 comments,https://forums.edmunds.com/discussion/8476/mitsubishi/lancer/2013-and-earlier-mitsubishi-lancer-lease-questions,2013,and,earlier,29,371
2014 and Earlier Dodge Challenger Lease Questions,4.4K views,27 comments,https://forums.edmunds.com/discussion/9570/dodge/challenger/2014-and-earlier-dodge-challenger-lease-questions,2014,and,Earlier,27,4400
2013 and Earlier BMW X6 Lease Questions,2.9K views,164 comments,https://forums.edmunds.com/discussion/9927/bmw/x6/2013-and-earlier-bmw-x6-lease-questions,2013,and,Earlier,164,2900
